Hero,Image
Anti-Mage,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/antimage_full.png>
Axe,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/axe_full.png>
Crystal Maiden,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/crystal_maiden_full.png>
Dazzle,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/dazzle_full.png>
Drow Ranger,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/drow_ranger_full.png>
Earthshaker,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/earthshaker_full.png>
Lich,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/lich_full.png>
Lina,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/lina_full.png>
Lion,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/lion_full.png>
Mirana,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/mirana_full.png>
Morphling,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/morphling_full.png>
Necrophos,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/necrolyte_full.png>
Puck,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/puck_full.png>
Pudge,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/pudge_full.png>
Razor,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/razor_full.png>
Sand King,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/sand_king_full.png>
Shadow Shaman,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/shadow_shaman_full.png>
Storm Spirit,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/storm_spirit_full.png>
Sven,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/sven_full.png>
Tidehunter,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/tidehunter_full.png>
Vengeful Spirit,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/vengefulspirit_full.png>
Windranger,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/windrunner_full.png>
Witch Doctor,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/witch_doctor_full.png>
Zeus,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/zuus_full.png>
Slardar,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/slardar_full.png>
Enigma,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/enigma_full.png>
Faceless Void,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/faceless_void_full.png>
Tiny,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/tiny_full.png>
Viper,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/viper_full.png>
Venomancer,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/venomancer_full.png>
Clockwerk,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/rattletrap_full.png>
Nature's Prophet,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/furion_full.png>
Dark Seer,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/dark_seer_full.png>
Sniper,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/sniper_full.png>
Pugna,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/pugna_full.png>
Beastmaster,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/beastmaster_full.png>
Enchantress,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/enchantress_full.png>
Leshrac,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/leshrac_full.png>
Shadow Fiend,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/nevermore_full.png>
Tinker,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/tinker_full.png>
Weaver,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/weaver_full.png>
Night Stalker,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/night_stalker_full.png>
Ancient Apparition,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/ancient_apparition_full.png>
Spectre,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/spectre_full.png>
Doom,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/doom_bringer_full.png>
Chen,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/chen_full.png>
Juggernaut,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/juggernaut_full.png>
Bloodseeker,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/bloodseeker_full.png>
Kunkka,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/kunkka_full.png>
Riki,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/riki_full.png>
Queen of Pain,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/queenofpain_full.png>
Wraith King,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/skeleton_king_full.png>
Broodmother,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/broodmother_full.png>
Huskar,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/huskar_full.png>
Jakiro,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/jakiro_full.png>
Batrider,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/batrider_full.png>
Omniknight,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/omniknight_full.png>
Dragon Knight,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/dragon_knight_full.png>
Warlock,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/warlock_full.png>
Alchemist,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/alchemist_full.png>
Lifestealer,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/life_stealer_full.png>
Death Prophet,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/death_prophet_full.png>
Ursa,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/ursa_full.png>
Bounty Hunter,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/bounty_hunter_full.png>
Silencer,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/silencer_full.png>
Spirit Breaker,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/spirit_breaker_full.png>
Invoker,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/invoker_full.png>
Clinkz,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/clinkz_full.png>
Outworld Devourer,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/obsidian_destroyer_full.png>
Bane,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/bane_full.png>
Shadow Demon,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/shadow_demon_full.png>
Lycan,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/lycan_full.png>
Lone Druid,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/lone_druid_full.png>
Brewmaster,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/brewmaster_full.png>
Phantom Lancer,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/phantom_lancer_full.png>
Treant Protector,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/treant_full.png>
Ogre Magi,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/ogre_magi_full.png>
Gyrocopter,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/gyrocopter_full.png>
Chaos Knight,<img src=http://cdn.dota2.com/apps/dota2/images/heroes/chaos_knight_full.png>
